regionno,regionname,year,gdpcap,sec.agriculture,sec.energy,sec.industry,sec.construction,sec.services.venta,sec.services.nonventa,school.illit,school.prim,school.med,school.high,school.post.high,popdens,invest
1,Spain (Espana),1955,2.35454163800577,,,,,,,,,,,,,
1,Spain (Espana),1956,2.48014858129262,,,,,,,,,,,,,
1,Spain (Espana),1957,2.60361314875437,,,,,,,,,,,,,
1,Spain (Espana),1958,2.63710359749335,,,,,,,,,,,,,
1,Spain (Espana),1959,2.66988013887773,,,,,,,,,,,,,
1,Spain (Espana),1960,2.86996575022929,,,,,,,,,,,,,
1,Spain (Espana),1961,3.04748635399651,19.5400009155273,4.71000003814697,26.420000076294,6.26999998092651,36.6199989318848,6.44000005722046,,,,,,,
1,Spain (Espana),1962,3.27327916772663,,,,,,,,,,,,,
1,Spain (Espana),1963,3.49350193506375,19.0499992370605,4.30999994277954,26.0499992370606,6.82999992370606,38,5.76999998092651,,,,,,,
1,Spain (Espana),1964,3.600114279221,,,,,,,2863.2783203125,18679.095703125,1064.24572753906,359.745727539063,212.143417358398,,18.3601837158203
1,Spain (Espana),1965,3.7007998412284,16.1599998474121,4.30999994277954,27.0100002288818,7.6399998664856,38.4000015258789,6.48000001907349,2826.32153320313,18805.349609375,1129.03112792969,377.947143554688,218,,20.5730609893799
1,Spain (Espana),1966,3.82347902343192,,,,,,,2789.84204101563,18959.24609375,1201.23583984375,398.725372314453,224.335403442383,,22.2630004882813
1,Spain (Espana),1967,3.93966025401783,14.1199998855591,4.1399998664856,26.7399997711182,7.67000007629395,39.5699996948242,7.76000022888184,2753.83325195313,19178.095703125,1285.103515625,422.267883300781,231.975006103516,,22.634765625
1,Spain (Espana),1968,4.17373600567249,,,,,,,2718.2890625,19319.001953125,1487.38073730469,447.321075439453,236.050003051758,,23.1126155853272
1,Spain (Espana),1969,4.41052573846089,12.8100004196167,4.13000011444092,26.7700004577637,7.84000015258789,40.060001373291,8.39000034332275,2683.20385742188,19459.55859375,1696.14685058594,474.941162109375,252.25,66.3399963378906,23.8235015869141
1,Spain (Espana),1970,4.59168822858648,,,,,,,,,,,,,23.4512672424316
1,Spain (Espana),1971,4.76906587654643,,,,,,,,,,,,,21.7007255554199
1,Spain (Espana),1972,5.07426432152198,,,,,,,,,,,,,23.0834999084473
1,Spain (Espana),1973,5.3735362022681,,,,,,,,,,,,,24.4110679626465
1,Spain (Espana),1974,5.50678365402854,,,,,,,,,,,,,25.0546245574951
1,Spain (Espana),1975,5.63260481310585,,,,,,,,,,,,,23.1503295898438
1,Spain (Espana),1976,5.69744355267915,,,,,,,,,,,,,22.437141418457
1,Spain (Espana),1977,5.75949726905594,,,,,,,,,,,,,21.7354965209961
1,Spain (Espana),1978,5.71665236759921,,,,,,,,,,,,,21.0691146850586
1,Spain (Espana),1979,5.68723223679953,,,,,,,,,,,,,20.0666217803955
1,Spain (Espana),1980,5.71079684543256,,,,,,,,,,,,,19.9076251983643
1,Spain (Espana),1981,5.75992570063687,,,,,,,,,,,,,19.1218509674072
1,Spain (Espana),1982,5.82526434969473,,,,,,,,,,,,,19.204309463501
1,Spain (Espana),1983,5.89353054191548,,,,,,,,,,,,,18.4446907043457
1,Spain (Espana),1984,6.00421320401202,,,,,,,,,,,,,16.7821617126465
1,Spain (Espana),1985,6.11639515872139,,,,,,,,,,,,,17.4106369018555
1,Spain (Espana),1986,6.49650113918345,,,,,,,,,,,,,17.9601345062256
1,Spain (Espana),1987,6.87817745432109,,,,,,,,,,,,,19.2979774475098
1,Spain (Espana),1988,7.24293050409147,,,,,,,,,,,,,20.8252849578857
1,Spain (Espana),1989,7.60854041702371,,,,,,,,,,,,,22.4756412506104
1,Spain (Espana),1990,7.79491556402412,,,,,,,,,,,,,23.3564167022705
1,Spain (Espana),1991,7.97843508160615,,,,,,,,,,,,,23.1464080810547
1,Spain (Espana),1992,7.83490396438071,,,,,,,,,,,,,22.4360275268555
1,Spain (Espana),1993,7.69208762619163,,,,,,,,,,,,,20.3748607635498
1,Spain (Espana),1994,7.88988877759256,,,,,,,,,,,,,20.2575531005859
1,Spain (Espana),1995,8.09482987422121,,,,,,,,,,,,,21.206729888916
1,Spain (Espana),1996,8.32404992267834,,,,,,,,,,,,,
1,Spain (Espana),1997,8.67037954278688,,,,,,,,,,,,,
2,Andalucia,1955,1.68873183014256,,,,,,,,,,,,,
2,Andalucia,1956,1.75849753289657,,,,,,,,,,,,,
2,Andalucia,1957,1.82762069723941,,,,,,,,,,,,,
2,Andalucia,1958,1.85275629430933,,,,,,,,,,,,,
2,Andalucia,1959,1.87803484718652,,,,,,,,,,,,,
2,Andalucia,1960,2.01013996001143,,,,,,,,,,,,,
2,Andalucia,1961,2.12917747377702,27.7199993133545,2.77999997138977,18.4500007629395,6.96999979019165,36.6300010681152,7.44999980926514,,,,,,,
2,Andalucia,1962,2.28034844571473,,,,,,,,,,,,,
2,Andalucia,1963,2.43101972608831,27.1299991607666,2.54999995231628,18.1000003814697,7.73000001907349,37.6699981689453,6.82000017166138,,,,,,,
2,Andalucia,1964,2.50885458681727,,,,,,,924.403015136719,3028.12719726563,129.512100219727,48.9593620300293,24.9379730224609,,17.4014949798584
2,Andalucia,1965,2.58469002752841,24.5200004577637,2.65000009536743,18.1800003051758,8.55000019073486,38.3199996948242,7.78000020980835,899.348999023438,3036.81640625,136.179748535156,51.7772178649902,25.7527732849121,,18.3089637756348
2,Andalucia,1966,2.69444434855945,,,,,,,874.787658691406,3049.4423828125,143.5947265625,54.9832267761231,26.6312026977539,,18.4299926757813
2,Andalucia,1967,2.80234220537994,21.8700008392334,2.65000009536743,18.2199993133545,8.53999996185303,39.0800018310547,9.64999961853027,850.710571289063,3072.63598632813,152.235733032227,58.6103782653809,27.6725540161133,,19.1156578063965
2,Andalucia,1968,2.98736079765435,,,,,,,827.109252929688,3086.955078125,174.595489501953,62.4910278320313,28.2954711914063,,20.6084861755371
2,Andalucia,1969,3.17909177525729,19.7299995422363,3.24000000953674,18.4300003051758,8.85999965667725,39.2299995422363,10.5200004577637,803.975463867188,3100.572265625,197.274108886719,66.7777633666992,30.3835697174072,68.5100021362305,22.0555896759033
2,Andalucia,1970,3.35432726531259,,,,,,,,,,,,,23.3137626647949
2,Andalucia,1971,3.52292206586344,,,,,,,,,,,,,22.3175086975098
2,Andalucia,1972,3.75621265018031,,,,,,,,,,,,,22.1272926330566
2,Andalucia,1973,3.98771781234937,,,,,,,,,,,,,21.8019485473633
2,Andalucia,1974,4.05184220872719,,,,,,,,,,,,,23.6468963623047
